No,Name,Pos,Status,Height,Inches,Random,Weight,Birthdate,Exp,College,Team
84,"Becker, Nate",TE,ACT,"6'5""",77,0.922629272,264,3/24/1996,0,Miami (Ohio),BUF
89,"Allen, Dwayne",TE,ACT,"6'4""",76,0.922519913,260,2/24/1990,8,Clemson,MIA
64,"McCray, Justin",OG,ACT,"6'3""",75,0.922270995,317,5/31/1992,3,Central Florida,GB
26,"Smith, Maurice",DB,ACT,"6'0""",72,0.921627277,194,6/14/1995,3,Georgia,MIA
41,"Chubb, Brandon",LB,RES,"6'1""",73,0.921392954,245,10/21/1993,2,Wake Forest,CAR
70,"Matthews, Jake",OT,ACT,"6'5""",77,0.921306982,309,2/11/1992,6,Texas A&M,ATL
53,"Nzeocha, Mark",OLB,ACT,"6'3""",75,0.921096638,235,1/19/1990,5,Wyoming,SF
57,"Pierre-Louis, Kevin",LB,ACT,"6'0""",72,0.920703373,230,10/7/1991,6,Boston College,CHI
51,"Hamilton, Shaun Dion",LB,ACT,"6'0""",72,0.920637214,235,9/11/1995,2,Alabama,WAS
26,"Williams, Brandon",CB,ACT,"6'0""",72,0.920581896,200,9/9/1992,4,Texas A&M,ARI
41,"Hartage, Montre",DB,ACT,"6'0""",72,0.920529032,190,6/16/1997,0,Northwestern,MIA
77,"Pocic, Ethan",OG,ACT,"6'6""",78,0.919908904,320,8/5/1995,3,LSU,SEA
72,"Norton, Storm",OT,ACT,"6'7""",79,0.91976005,317,5/16/1994,1,Toledo,MIN
40,"Ferguson, Josh",RB,ACT,"5'10""",70,0.919411619,205,5/23/1993,3,Illinois,HOU
10,"Trubisky, Mitchell",QB,ACT,"6'3""",75,0.918931005,222,8/20/1994,3,North Carolina,CHI
57,"Barton, Cody",LB,ACT,"6'2""",74,0.918536333,237,11/13/1996,0,Utah,SEA
,"Brown, Mack",RB,ACT,"5'11""",71,0.918482612,213,9/24/1991,3,Florida,OAK
58,"Okereke, Bobby",ILB,ACT,"6'1""",73,0.918378444,235,7/29/1996,0,Stanford,IND
34,"LeBlanc, Cre'von",CB,ACT,"5'10""",70,0.918318512,190,7/25/1994,4,Florida Atlantic,PHI
22,"Toliver, Kevin",DB,ACT,"6'2""",74,0.918248939,192,11/24/1995,2,LSU,CHI
84,"McElroy, Codey",TE,ACT,"6'6""",78,0.917904868,255,12/13/1992,1,Oklahoma State,DAL
24,"Norman, Josh",CB,ACT,"6'0""",72,0.917797206,200,12/15/1987,8,Coastal Carolina,WAS
72,"Pierre, Olsen",DT,ACT,"6'4""",76,0.916874555,293,8/27/1991,4,Miami (Fla.),NYG
20,"Penny, Rashaad",RB,ACT,"5'11""",71,0.916107158,220,2/2/1996,2,San Diego State,SEA
32,"Ozigbo, Devine",RB,ACT,"6'0""",72,0.916079294,225,10/2/1996,0,Nebraska,NO
57,"Spence, Noah",DE,ACT,"6'2""",74,0.914686303,251,1/8/1994,4,Eastern Kentucky,TB
83,"Conklin, Tyler",TE,ACT,"6'3""",75,0.913695616,254,7/30/1995,2,Central Michigan,MIN
17,"Anderson, Ryan",P,ACT,"6'1""",73,0.912443928,197,12/30/1994,0,Rutgers,NYG
33,"Johnson, Kerryon",RB,ACT,"5'11""",71,0.912416955,206,6/30/1997,2,Auburn,DET
83,"Tomlinson, Eric",TE,ACT,"6'6""",78,0.911469176,263,4/22/1992,4,Texas-El Paso,NYJ
86,"Boyle, Nick",TE,ACT,"6'4""",76,0.910917341,270,2/17/1993,5,Delaware,BAL
11,"Harris, Deonte",WR,ACT,"5'6""",66,0.910855681,170,12/4/1997,0,Assumption,NO
20,"Russell, KeiVarae",CB,ACT,"5'11""",71,0.910612366,196,10/19/1993,4,Notre Dame,CIN
3,"Peterman, Nathan",QB,ACT,"6'2""",74,0.909811868,225,5/4/1994,3,Pittsburgh,OAK
85,"Grayson, Davon",WR,ACT,"6'2""",74,0.909670285,187,9/5/1995,1,East Carolina,KC
39,"Webster, Kayvon",DB,ACT,"5'11""",71,0.909385335,190,2/1/1991,7,South Florida,NO
81,"Matthews, Jordan",WR,ACT,"6'3""",75,0.908423721,215,7/16/1992,6,Vanderbilt,SF
99,"Watt, J.J.",DE,ACT,"6'5""",77,0.907921169,288,3/22/1989,9,Wisconsin,HOU
48,"Vallejo, Tanner",LB,ACT,"6'1""",73,0.907833472,230,12/16/1994,3,Boise State,ARI
68,"LeRibeus, Josh",OG,ACT,"6'2""",74,0.906574497,310,7/2/1989,7,Southern Methodist,TB
36,"Harris, Marcell",DB,ACT,"6'0""",72,0.906279507,215,6/9/1994,2,Florida,SF
,"Ivey, Martez",OT,ACT,"6'5""",77,0.90611242,306,7/25/1995,0,Florida,NE
48,"Hollister, Jacob",TE,ACT,"6'4""",76,0.905908364,245,11/18/1993,3,Wyoming,SEA
55,"Graham, Brandon",DE,ACT,"6'2""",74,0.90590775,265,4/3/1988,10,Michigan,PHI
60,"McGovern, Connor",OG,ACT,"6'4""",76,0.905646449,306,4/27/1993,4,Missouri,DEN
15,"Jennings, Darius",WR,ACT,"5'10""",70,0.905376262,180,6/28/1992,3,Virginia,TEN
8,"Morgan, Stanley",WR,ACT,"6'0""",72,0.905042314,205,9/7/1996,0,Nebraska,CIN
99,"Short, Kawann",DT,ACT,"6'3""",75,0.904989301,315,2/2/1989,7,Purdue,CAR
52,"Gary, Rashan",LB,ACT,"6'5""",77,0.904791962,277,12/3/1997,0,Michigan,GB
7,"Gillan, Jamie",P,ACT,"6'1""",73,0.90430008,207,7/4/1997,0,Arkansas-Pine Bluff,CLE
84,"Patterson, Cordarrelle",WR,ACT,"6'2""",74,0.904261388,228,3/17/1991,7,Tennessee,CHI
67,"Soto, Shakir",DE,ACT,"6'3""",75,0.903906032,295,2/12/1994,1,Pittsburgh,DAL
29,"Fant, Rashard",DB,PUP,"5'10""",70,0.903890929,180,1/8/1995,2,Indiana,CHI
99,"Billings, Andrew",DT,ACT,"6'1""",73,0.902575313,328,3/6/1995,4,Baylor,CIN
90,"Lawson, Shaq",DE,ACT,"6'3""",75,0.902556249,267,6/17/1994,4,Clemson,BUF
32,"Tyson, Mike",DB,ACT,"6'1""",73,0.902116416,210,7/27/1993,2,Cincinnati,GB
13,"Dorsett, Phillip",WR,ACT,"5'10""",70,0.901836604,192,1/5/1993,5,Miami (Fla.),NE
39,"Ervin, Tyler",RB,ACT,"5'10""",70,0.901798597,185,10/7/1993,4,San Jose State,BAL
58,"Lawson, Carl",DE,ACT,"6'2""",74,0.901481497,265,6/29/1995,3,Auburn,CIN
11,"Parker, DeVante",WR,ACT,"6'3""",75,0.901373655,216,1/20/1993,5,Louisville,MIA
53,"March-Lillard, Justin",LB,ACT,"5'11""",71,0.901073256,232,7/5/1993,5,Akron,DAL
79,"Green, Chaz",OG,ACT,"6'5""",77,0.901063344,318,4/8/1992,5,Florida,DEN
46,"Develin, James",FB,ACT,"6'3""",75,0.900799169,255,7/23/1988,7,Brown,NE
6,"Morstead, Thomas",P,ACT,"6'4""",76,0.900579343,235,3/8/1986,11,Southern Methodist,NO
23,"McLeod, Rodney",FS,ACT,"5'10""",70,0.900430757,195,6/23/1990,8,Virginia,PHI
75,"Tomlinson, Laken",OG,ACT,"6'3""",75,0.89987696,315,2/9/1992,5,Duke,SF
59,"Mercilus, Whitney",OLB,ACT,"6'4""",76,0.898338463,258,7/21/1990,8,Illinois,HOU
67,"Spain, Quinton",OG,ACT,"6'4""",76,0.898302284,330,8/7/1991,5,West Virginia,BUF
27,"Roberts, Darryl",CB,ACT,"6'0""",72,0.898285239,182,11/26/1990,5,Marshall,NYJ
62,"Larsen, Ted",OG,ACT,"6'3""",75,0.897960196,323,6/13/1987,10,North Carolina State,CHI
74,"Waddle, LaAdrian",OT,ACT,"6'6""",78,0.897905666,315,7/21/1991,7,Texas Tech,BUF
12,"Matthews, Rishard",WR,ACT,"6'0""",72,0.89748514,217,10/12/1989,8,Nevada,NO
65,"John, Ulrick",OT,ACT,"6'6""",78,0.897395123,312,5/20/1992,6,Georgia State,NO
2,"Ryan, Matt",QB,ACT,"6'4""",76,0.897017211,217,5/17/1985,12,Boston College,ATL
71,"Coyle, Anthony",OG,ACT,"6'4""",76,0.896258955,298,9/19/1996,1,Fordham,GB
77,"Bennett, Michael",DE,ACT,"6'4""",76,0.896078886,274,11/13/1985,11,Texas A&M,NE
51,"Ward, Jihad",DE,ACT,"6'5""",77,0.89571296,287,5/11/1994,4,Illinois,IND
59,"Whitehead, Tahir",OLB,ACT,"6'1""",73,0.895330176,241,4/2/1990,8,Temple,OAK
16,"Mitchell, Bryant",WR,ACT,"6'2""",74,0.894181334,198,8/16/1992,0,Northwestern State-Louisiana,TB
72,"Bolles, Garett",OT,ACT,"6'5""",77,0.894038322,300,5/27/1992,3,Utah,DEN
50,"Joseph, Vosean",LB,ACT,"6'1""",73,0.892148764,230,12/15/1997,0,Florida,BUF
23,"Bucannon, Deone",OLB,ACT,"6'1""",73,0.891996735,211,8/30/1992,6,Washington State,TB
51,"Brown, Zach",ILB,ACT,"6'1""",73,0.891871594,250,10/23/1989,8,North Carolina,PHI
73,"Leglue, John",OT,ACT,"6'7""",79,0.890182106,310,4/17/1996,0,Tulane,DEN
6,"Kern, Brett",P,ACT,"6'2""",74,0.888887371,214,2/17/1986,12,Toledo,TEN
19,"Reynolds, Keenan",WR,ACT,"5'10""",70,0.888839074,191,12/13/1993,1,Navy,SEA
56,"Kendricks, Mychal",LB,ACT,"5'11""",71,0.888427088,240,9/28/1990,8,California,SEA
90,"Hester, Treyvon",DT,ACT,"6'2""",74,0.888276549,304,9/21/1992,3,Toledo,PHI
88,"Rahming, T.J.",WR,ACT,"5'10""",70,0.88804235,165,1/10/1997,0,Duke,WAS
44,"Kwiatkoski, Nick",ILB,ACT,"6'2""",74,0.887196883,242,5/26/1993,4,West Virginia,CHI
77,"Jenkins, John",DT,ACT,"6'4""",76,0.887052858,335,7/11/1989,7,Georgia,NYG
54,"Wilson, Damien",OLB,ACT,"6'0""",72,0.887009261,245,5/28/1993,5,Minnesota,KC
57,"Hanks, Terrill",LB,ACT,"6'2""",74,0.886266869,241,12/7/1995,0,New Mexico State,MIA
29,"Powell, Bilal",RB,ACT,"5'10""",70,0.886187198,204,10/27/1988,9,Louisville,NYJ
65,"Hyatt, Mitch",OT,ACT,"6'5""",77,0.886112463,305,2/6/1997,0,Clemson,DAL
47,"Tillery, JoJo",DB,ACT,"5'11""",71,0.88582466,205,6/22/1997,0,Wofford,TEN
95,"Collier, L.J.",DE,ACT,"6'3""",75,0.885485249,291,9/12/1995,0,Texas Christian,SEA
47,"Carlock, Jake",DB,ACT,"6'2""",74,0.885173769,238,10/2/1996,0,Long Island University,NYG
1,"Newton, Cam",QB,ACT,"6'5""",77,0.885000539,245,5/11/1989,9,Auburn,CAR
69,"Thornton, Hugh",G,ACT,"6'3""",75,0.88454662,320,6/28/1991,5,Illinois,WAS
9,"Shurmur, Kyle",QB,ACT,"6'4""",76,0.883834796,225,11/6/1996,0,Vanderbilt,KC
91,"LaDouceur, L.P.",LS,ACT,"6'5""",77,0.8836661,256,3/13/1981,15,California,DAL
12,"Brady, Tom",QB,ACT,"6'4""",76,0.883561562,225,8/3/1977,20,Michigan,NE
25,"Brooks, Terrence",DB,ACT,"5'11""",71,0.883556216,205,3/2/1992,6,Florida State,NE
10,"Gordon, Josh",WR,SUS,"6'3""",75,0.883252713,225,4/13/1991,4,Utah,NE
83,"Thompson, Cody",WR,ACT,"6'2""",74,0.883186741,205,1/11/1996,0,Toledo,KC
83,"Moore, David",WR,ACT,"6'0""",72,0.883059515,215,1/15/1995,3,East Central (OK),SEA
39,"Ramirez, Santos",DB,ACT,"6'2""",74,0.882960383,204,4/22/1996,0,Arkansas,NYJ
62,"Stout, MyQuon",DT,ACT,"6'1""",73,0.882513896,280,2/22/1996,0,Appalachian State,NYJ
98,"Rochell, Isaac",DE,ACT,"6'4""",76,0.881875791,280,4/22/1995,2,Notre Dame,LAC
51,"Skipper, Tuzar",LB,ACT,"6'3""",75,0.880866066,246,6/5/1995,0,Toledo,PIT
38,"Chesley, Anthony",CB,ACT,"6'0""",72,0.880381239,190,5/31/1995,0,Coastal Carolina,CIN
33,"Walter, Austin",RB,ACT,"5'8""",68,0.879775792,190,8/17/1996,0,Rice,SF
24,"Skrine, Buster",CB,ACT,"5'9""",69,0.8786479,185,4/26/1989,9,Tennessee-Chattanooga,CHI
96,"Barnett, Derek",DE,ACT,"6'3""",75,0.877825978,259,6/25/1996,3,Tennessee,PHI
78,"Fluker, D.J.",OG,ACT,"6'5""",77,0.877749149,342,3/13/1991,7,Alabama,SEA
21,"Robinson, Patrick",DB,ACT,"5'11""",71,0.877281499,191,9/7/1987,10,Florida State,NO
14,"Lenoir, Lance",WR,ACT,"6'0""",72,0.876860153,208,2/9/1995,2,Western Illinois,DAL
25,"Mack, Marlon",RB,ACT,"6'0""",72,0.876471831,210,3/7/1996,3,South Florida,IND
42,"Burnett, Morgan",SS,ACT,"6'1""",73,0.876245516,210,1/13/1989,10,Georgia Tech,CLE
80,"Carr, Austin",WR,ACT,"6'1""",73,0.875960051,195,12/25/1993,3,Northwestern,NO
2,"Lynch, Paxton",QB,ACT,"6'7""",79,0.875282153,244,2/12/1994,3,Memphis,SEA
5,"Webb, Davis",QB,ACT,"6'5""",77,0.875075393,225,1/22/1995,3,California,NYJ
,"Cook, Rishard",OG,ACT,"6'3""",75,0.874730304,320,6/25/1997,0,Alabama-Birmingham,CAR
80,"Gathers, Rico",TE,ACT,"6'6""",78,0.874617413,280,1/7/1994,3,Baylor,DAL
37,"Maulet, Arthur",CB,ACT,"5'10""",70,0.874510598,190,7/13/1993,3,Memphis,NYJ
,"Simms, Matt",QB,ACT,"6'3""",75,0.874505156,210,9/27/1988,4,Tennessee,ATL
23,"Jenkins, Rayshawn",DB,ACT,"6'2""",74,0.874218836,220,1/25/1994,3,Miami (Fla.),LAC
16,"Lockett, Tyler",WR,ACT,"5'10""",70,0.874105137,182,9/28/1992,5,Kansas State,SEA
59,"Cowart, Byron",DT,ACT,"6'3""",75,0.872912699,300,5/20/1996,0,Maryland,NE
31,"Mincy, Jonathon",DB,ACT,"5'10""",70,0.872576387,196,9/5/1992,1,Auburn,CHI
10,"Hill, Tyreek",WR,ACT,"5'10""",70,0.871807397,185,3/1/1994,4,West Alabama,KC
83,"Valdes-Scantling, Marquez",WR,ACT,"6'4""",76,0.871802146,206,10/10/1994,2,South Florida,GB
97,"Edwards, Mario",DE,ACT,"6'3""",75,0.871691384,280,1/25/1994,5,Florida State,NO
35,"Denmark, Stephen",DB,ACT,"6'3""",75,0.871621548,220,4/20/1996,0,Valdosta State,CHI
95,"Rivers, Derek",DE,ACT,"6'5""",77,0.871442544,250,5/9/1994,3,Youngstown State,NE
23,"Chung, Patrick",SS,ACT,"5'11""",71,0.870967539,215,8/19/1987,11,Oregon,NE
91,"Cox, Bryan",DE,ACT,"6'3""",75,0.870777142,270,6/25/1994,3,Florida,CAR
24,"Bell, Vonn",SS,ACT,"5'11""",71,0.870524854,205,12/12/1994,4,Ohio State,NO
23,"Hilliman, Jon",RB,ACT,"6'0""",72,0.869925443,226,11/14/1995,0,Rutgers,NYG
74,"Miller, Kolton",OT,ACT,"6'8""",80,0.86977008,325,10/9/1995,2,UCLA,OAK
49,"Hesse, Parker",TE,ACT,"6'3""",75,0.8695042,261,5/26/1995,0,Iowa,TEN
7,"Carter, Cory",P,ACT,"5'11""",71,0.868538697,220,3/5/1994,2,Texas Southern,BUF
74,"Scharping, Max",OT,ACT,"6'6""",78,0.868340388,327,8/10/1996,0,Northern Illinois,HOU
22,"Murphy, Marcus",RB,ACT,"5'9""",69,0.868295729,195,10/3/1991,4,Missouri,BUF
50,"Wilson, Eric",LB,ACT,"6'1""",73,0.868112175,230,9/26/1994,3,Cincinnati,MIN
31,"Tabor, Teez",CB,ACT,"6'0""",72,0.868030705,201,12/31/1995,3,Florida,DET
96,"Valentine, Vincent",DT,ACT,"6'3""",75,0.867881884,331,2/23/1994,3,Nebraska,ARI
32,"Perine, Samaje",RB,ACT,"5'11""",71,0.867398453,240,9/16/1995,3,Oklahoma,WAS
30,"Brown, Anthony",CB,ACT,"5'11""",71,0.866577538,198,12/15/1993,4,Purdue,DAL
50,"Wright, K.J.",OLB,ACT,"6'4""",76,0.866451433,246,7/23/1989,9,Mississippi State,SEA
26,"Bell, Le'Veon",RB,ACT,"6'1""",73,0.866119596,225,2/18/1992,6,Michigan State,NYJ
12,"Beebe, Chad",WR,ACT,"5'10""",70,0.865132985,183,6/1/1994,2,Northern Illinois,MIN
7,"Roethlisberger, Ben",QB,ACT,"6'5""",77,0.864710752,240,3/2/1982,16,Miami (Ohio),PIT
8,"Patmon, Tyler",DB,ACT,"5'10""",70,0.863913557,188,1/26/1991,5,Oklahoma State,MIA
15,"Tate, Golden",WR,ACT,"5'11""",71,0.863779797,191,8/2/1988,10,Notre Dame,NYG
17,"Turner, Malik",WR,ACT,"6'2""",74,0.863514871,202,1/30/1996,2,Illinois,SEA
26,"Williams, Damien",RB,ACT,"5'11""",71,0.863500697,224,4/3/1992,6,Oklahoma,KC
53,"Cashman, Blake",LB,ACT,"6'1""",73,0.863330773,237,5/10/1996,0,Minnesota,NYJ
8,"Roberts, Andre",WR,ACT,"5'11""",71,0.86303454,195,1/9/1988,10,The Citadel,BUF
56,"Godchaux, Davon",DT,ACT,"6'3""",75,0.862868283,311,11/11/1994,3,LSU,MIA
5,"Finley, Ryan",QB,ACT,"6'4""",76,0.86158109,207,12/26/1994,0,North Carolina State,CIN
2,"Rosas, Aldrick",K,ACT,"6'3""",75,0.861493208,233,12/30/1994,3,Southern Oregon,NYG
71,"Reiff, Riley",OT,ACT,"6'6""",78,0.861151075,305,12/1/1988,8,Iowa,MIN
95,"Martin, Josh",LB,ACT,"6'3""",75,0.860708595,245,11/7/1991,7,Columbia,NO
83,"Koyack, Ben",TE,ACT,"6'5""",77,0.860630139,258,4/9/1993,4,Notre Dame,JAX
39,"Springs, Arrion",DB,ACT,"5'11""",71,0.860579327,208,9/19/1995,1,Oregon,LAC
32,"Drake, Kenyan",RB,ACT,"6'1""",73,0.860479542,211,1/26/1994,4,Alabama,MIA
25,"Thompson, Chris",RB,ACT,"5'8""",68,0.860106512,195,10/20/1990,6,Florida State,WAS
47,"Walker, Tracy",DB,ACT,"6'1""",73,0.86001366,206,2/1/1995,2,Louisiana-Lafayette,DET
64,"Boozer, Cole",OT,ACT,"6'5""",77,0.859761148,275,3/20/1994,1,Temple,TB
23,"Boone, Mike",RB,ACT,"5'10""",70,0.859720046,206,6/30/1995,2,Cincinnati,MIN
30,"McDougald, Bradley",SS,ACT,"6'1""",73,0.859430788,215,11/15/1990,7,Kansas,SEA
31,"Borders, Breon",CB,ACT,"6'0""",72,0.858747891,189,7/22/1995,1,Duke,JAX
12,"Benjamin, Travis",WR,ACT,"5'10""",70,0.858366829,175,12/29/1989,8,Miami (Fla.),LAC
18,"McLaughlin, Chase",K,ACT,"6'0""",72,0.858355806,190,4/9/1996,0,Illinois,BUF
65,"Devey, Jordan",OG,ACT,"6'6""",78,0.858152142,320,1/11/1988,6,Memphis,OAK
63,"Tom, Cameron",C,ACT,"6'4""",76,0.85804066,300,6/21/1995,3,Southern Mississippi,NO
2,"Winslow, Ryan",P,ACT,"6'5""",77,0.857673116,217,4/30/1994,1,Pittsburgh,ARI
39,"Tell, Marvell",CB,ACT,"6'2""",74,0.85740349,195,8/2/1996,0,USC,IND
70,"Ola, Michael",OT,ACT,"6'5""",77,0.857267552,312,4/19/1988,6,Hampton,NO
58,"Smith, Roquan",ILB,ACT,"6'1""",73,0.856830622,236,4/8/1997,2,Georgia,CHI
20,"Scarlett, Jordan",RB,ACT,"5'11""",71,0.856174383,210,2/9/1996,0,Florida,CAR
75,"Vaeao, Destiny",DT,ACT,"6'4""",76,0.856027475,300,1/15/1994,4,Washington State,CAR
39,"Branch, Marcelis",DB,ACT,"5'11""",71,0.855741821,180,1/19/1994,1,Robert Morris,PIT
57,"Taumoepenu, Pita",LB,ACT,"6'1""",73,0.855720667,245,3/9/1994,2,Utah,ARI
45,"Wade, Christian",RB,ACT,"5'7""",67,0.855630078,185,5/15/1991,0,No College,BUF
27,"Kearse, Jayron",SAF,ACT,"6'4""",76,0.855445646,215,2/11/1994,4,Clemson,MIN
75,"Douglas, Jamil",OG,ACT,"6'4""",76,0.855411482,309,2/28/1992,2,Arizona State,TEN
28,"McKinnon, Jerick",RB,ACT,"5'9""",69,0.855105047,205,5/3/1992,6,Georgia Southern,SF
14,"Raymond, Kalif",WR,ACT,"5'8""",68,0.854344518,182,8/8/1994,3,Holy Cross,TEN
14,"Carter, DeAndre",WR,ACT,"5'8""",68,0.853319934,190,4/10/1993,2,Sacramento State,HOU
42,"Sendejo, Andrew",SS,ACT,"6'1""",73,0.852668821,210,9/9/1987,9,Rice,PHI
38,"Newsome, Detrez",RB,ACT,"5'10""",70,0.852638062,210,3/6/1994,2,Western Carolina,LAC
46,"Oruwariye, Amani",CB,ACT,"6'2""",74,0.852603609,205,2/9/1996,0,Penn State,DET
4,"Griffin, Ryan",QB,ACT,"6'5""",77,0.852177104,210,11/17/1989,6,Tulane,TB
51,"Sheffield, Sterling",LB,ACT,"6'0""",72,0.851796605,235,11/30/1996,0,Maine,CIN
79,"Brooks, Brandon",OG,ACT,"6'5""",77,0.850590462,335,8/19/1989,8,Miami (Ohio),PHI
73,"Gono, Matt",OT,ACT,"6'4""",76,0.85027452,305,5/10/1996,2,Wesley College,ATL
76,"Okung, Russell",OT,ACT,"6'5""",77,0.850018368,310,10/7/1988,10,Oklahoma State,LAC
77,"Love, Kyle",DT,ACT,"6'1""",73,0.84986168,310,11/18/1986,8,Mississippi State,CAR
85,"Eifert, Tyler",TE,ACT,"6'6""",78,0.849769089,255,9/8/1990,7,Notre Dame,CIN
51,"Bullough, Riley",LB,ACT,"6'2""",74,0.849164842,228,11/23/1993,2,Michigan State,TEN
16,"Sherfield, Trent",WR,ACT,"6'1""",73,0.848931204,219,2/26/1996,2,Vanderbilt,ARI
56,"Bradbury, Garrett",C,ACT,"6'3""",75,0.847730657,305,6/20/1995,0,North Carolina State,MIN
25,"Reid, Eric",SS,ACT,"6'1""",73,0.847129428,215,12/10/1991,7,LSU,CAR
74,"Sterup, Zach",OT,ACT,"6'9""",81,0.846852736,323,5/14/1992,3,Nebraska,MIA
19,"Ross, Rashad",WR,ACT,"6'0""",72,0.846825205,180,2/2/1990,3,Arizona State,CAR
28,"Miller, Jordan",DB,ACT,"6'1""",73,0.846422441,186,2/8/1997,0,Washington,ATL
94,"Omenihu, Charles",DE,ACT,"6'5""",77,0.846331702,280,8/20/1997,0,Texas,HOU
,"Meredith, Cameron",WR,ACT,"6'3""",75,0.846245214,207,9/21/1992,5,Illinois State,NE
39,"Adams, Keion",LB,ACT,"6'2""",74,0.84576025,240,6/8/1995,2,Western Michigan,NYG
71,"Tucker, Marquez",OG,ACT,"6'4""",76,0.845690851,291,9/19/1996,0,Southern Utah,CHI
53,"Cabinda, Jason",LB,ACT,"6'1""",73,0.845454587,235,3/17/1996,2,Penn State,OAK
58,"Landry, Harold",LB,ACT,"6'2""",74,0.845294684,252,6/5/1996,2,Boston College,TEN
91,"Nnadi, Derrick",NT,ACT,"6'1""",73,0.844558615,312,5/9/1996,2,Florida State,KC
90,"Lawrence, Demarcus",DE,ACT,"6'3""",75,0.844385015,265,4/28/1992,6,Boise State,DAL
29,"Edmonds, Chase",RB,ACT,"5'9""",69,0.844260576,205,4/13/1996,2,Fordham,ARI
44,"Correa, Kamalei",OLB,ACT,"6'3""",75,0.843365821,241,4/27/1994,4,Boise State,TEN
12,"Dieter, Gehrig",WR,ACT,"6'3""",75,0.843357872,208,2/24/1993,2,Alabama,KC
6,"Mayfield, Baker",QB,ACT,"6'1""",73,0.843245747,215,4/14/1995,2,Oklahoma,CLE
13,"Hilton, T.Y.",WR,ACT,"5'10""",70,0.843226301,183,11/14/1989,8,Florida International,IND
10,"Fountain, Reece",WR,ACT,"6'2""",74,0.842039806,210,12/22/1995,1,Northern Iowa,IND
95,"Wolfe, Derek",DE,ACT,"6'5""",77,0.84189189,285,2/24/1990,8,Cincinnati,DEN
77,"Jones, Sam",OG,ACT,"6'5""",77,0.841180985,290,2/21/1996,2,Arizona State,DEN
37,"Smithson, Fish",DB,ACT,"5'11""",71,0.841136418,196,3/18/1994,1,Kansas,JAX
56,"Ramsey, Randy",LB,ACT,"6'3""",75,0.840494059,238,9/7/1995,0,Arkansas,GB
84,"Dickson, Ed",TE,ACT,"6'4""",76,0.839971644,250,7/25/1987,10,Oregon,SEA
34,"Artis-Payne, Cameron",RB,ACT,"5'10""",70,0.839703057,215,6/23/1990,5,Auburn,CAR
63,"Odhiambo, Rees",OT,ACT,"6'4""",76,0.839243869,297,9/23/1992,4,Boise State,ARI
22,"Davis, Davante",CB,ACT,"6'2""",74,0.839210175,203,9/26/1995,0,Texas,SEA
91,"Broughton, Cortez",DT,ACT,"6'2""",74,0.838838964,291,9/2/1996,0,Cincinnati,LAC
10,"Scott, Artavis",WR,ACT,"5'11""",71,0.83880656,195,10/12/1994,2,Clemson,LAC
81,"Enunwa, Quincy",WR,ACT,"6'2""",74,0.838652557,225,5/31/1992,5,Nebraska,NYJ
98,"Richardson, Sheldon",DT,ACT,"6'3""",75,0.838321206,294,11/29/1990,7,Missouri,CLE
23,"Stanley, Jayson",DB,ACT,"6'2""",74,0.837818617,207,4/24/1997,0,Georgia,ATL
32,"Montgomery, David",RB,ACT,"5'10""",70,0.837386986,222,6/7/1997,0,Iowa State,CHI
76,"Gilbert, Marcus",OT,ACT,"6'6""",78,0.837192615,330,2/15/1988,9,Florida,ARI
39,"Epps, Marcus",SAF,ACT,"6'0""",72,0.836311494,198,1/27/1996,0,Wyoming,MIN
64,"Senat, Greg",OT,ACT,"6'6""",78,0.835972947,305,9/8/1994,2,Wagner,BAL
13,"Taylor, Taywan",WR,ACT,"5'11""",71,0.835859336,203,3/2/1995,3,Western Kentucky,TEN
67,"Gauthier, Tyler",C,ACT,"6'5""",77,0.835508722,300,6/29/1997,0,Miami (Fla.),NE
85,"Saubert, Eric",TE,ACT,"6'5""",77,0.835263872,253,5/1/1994,3,Drake,ATL
96,"Ekuale, Daniel",DT,ACT,"6'3""",75,0.835039069,300,1/13/1994,1,Washington State,CLE
39,"Aston, George",RB,ACT,"6'0""",72,0.835008701,240,2/1/1996,0,Pittsburgh,DEN
19,"St. Brown, Equanimeous",WR,ACT,"6'5""",77,0.834832636,214,9/30/1996,2,Notre Dame,GB
43,"Bradley, Hunter",LS,ACT,"6'3""",75,0.834317619,241,5/21/1994,2,Mississippi State,GB
67,"Orzech, Matthew",LS,ACT,"6'3""",75,0.833695413,246,4/12/1995,0,Azusa Pacific,BAL
87,"Fells, Darren",TE,ACT,"6'7""",79,0.833511319,270,4/22/1986,6,California-Irvine,HOU
44,"Langi, Harvey",LB,ACT,"6'2""",74,0.833354464,250,9/24/1992,2,Brigham Young,NYJ
96,"Anderson, Henry",DE,ACT,"6'6""",78,0.832689156,301,8/3/1991,5,Stanford,NYJ
43,"Sproles, Darren",RB,ACT,"5'6""",66,0.832458392,190,6/20/1983,15,Kansas State,PHI
3,"Lee, Tanner",QB,ACT,"6'4""",76,0.832369577,217,2/14/1995,1,Nebraska,JAX
80,"O'Shaughnessy, James",TE,ACT,"6'4""",76,0.831416768,245,1/14/1992,5,Illinois State,JAX
50,"Roberson, Derick",LB,ACT,"6'3""",75,0.831339032,250,11/15/1995,0,Sam Houston State,TEN
70,"Gossett, Colby",OG,ACT,"6'5""",77,0.830369338,331,6/23/1995,2,Appalachian State,ARI
